ID,FF,composition,T,Hydration,Q_FF,Q_OP,Q_OP_tails,Q_OP_heads
803,OPLS4,POPC (1),300.0,20.0,,0.8135,0.8683,0.7039
815,OPLS3e,POPC (1),300.0,20.0,,0.8112,0.867,0.6996
805,OPLS3e,POPC (1),300.0,44.3,0.9747,0.8051,0.8422,0.7309
814,OPLS4,POPC (1),300.0,45.0,0.9894,0.8,0.8361,0.7278
804,OPLS4,POPC (1),300.0,12.0,,0.7984,0.85,0.6952
802,OPLS4,POPC (1),300.0,7.5,,0.7734,0.8034,0.7135
796,OPLS3e,POPC (1),300.0,5.0,,0.7709,0.7824,0.7478
830,C36_Slipids_Hybrid,POPC (1),298.0,50.0,0.3048,0.717,0.7448,0.6615
817,OPLS4,POPC (1),300.0,5.0,,0.7092,0.722,0.6836
658,MacRog,POPC (1),298.15,50.0,0.3818,0.6963,0.707,0.6749
617,Slipids,POPC (1),298.0,46.8,0.7597,0.6921,0.7281,0.6203
717,Lipid17,CHOL:POPC (7:8),298.15,50.0,0.0,0.688,0.7332,0.5974
684,Lipid17,POPC (1),298.15,50.0,0.7976,0.6725,0.7239,0.5697
457,MacRog,POPC (1),300.0,40.0,0.4673,0.6676,0.6858,0.6312
657,Lipid17,POPC (1),298.15,50.0,0.8504,0.6659,0.7211,0.5554
798,CHARMM36,POPC (1),300.0,12.0,,0.6657,0.6866,0.624
674,MacRog,POPC (1),298.15,50.0,0.493,0.665,0.6968,0.6013
675,MacRog,POPC (1),298.15,50.0,0.4311,0.659,0.6606,0.6558
714,Lipid17,CHOL:POPC (7:8),298.15,50.0,0.0,0.652,0.6874,0.5811
715,Lipid17,POPC (1),298.15,50.0,0.8957,0.6511,0.7313,0.4905
806,CHARMM36,POPC (1),300.0,7.5,,0.6489,0.6296,0.6877
606,MacRog,POPC (1),298.0,20.0,,0.6434,0.6602,0.6098
696,Slipids,POPC (1),298.15,50.0,0.7477,0.6426,0.669,0.5897
831,C36_Slipids_Hybrid,POPC (1),298.0,50.0,0.2142,0.6389,0.6285,0.6595
707,Lipid17,CHOL:POPC (7:8),298.15,50.0,0.0,0.6024,0.6326,0.5419
708,Slipids,POPC (1),298.15,50.0,0.581,0.5997,0.6178,0.5637
82,slipids,CHOL:POPC (1:1),298.0,39.7,0.0014,0.5992,0.5458,0.7061
63,MacRog,POPC (1),298.0,50.0,0.4335,0.5974,0.5854,0.6216
797,OpenFF,POPC (1),300.0,40.0,0.1238,0.5887,0.5704,0.6252
761,OpenFF,POPC (1),300.0,39.1,0.0019,0.568,0.5584,0.5872
