ID,FF,composition,T,Hydration,Q_FF,Q_OP,Q_OP_tails,Q_OP_heads
803,OPLS4,POPC (1),300.0,20.0,,0.8135,0.8683,0.7039
815,OPLS3e,POPC (1),300.0,20.0,,0.8112,0.867,0.6996
805,OPLS3e,POPC (1),300.0,44.3,0.155,0.8051,0.8422,0.7309
814,OPLS4,POPC (1),300.0,45.0,0.155,0.8,0.8361,0.7278
804,OPLS4,POPC (1),300.0,12.0,,0.7984,0.85,0.6952
802,OPLS4,POPC (1),300.0,7.5,,0.7734,0.8034,0.7135
796,OPLS3e,POPC (1),300.0,5.0,,0.7709,0.7824,0.7478
830,C36_Slipids_Hybrid,POPC (1),298.0,50.0,0.755,0.717,0.7448,0.6615
817,OPLS4,POPC (1),300.0,5.0,,0.7092,0.722,0.6836
658,MacRog,POPC (1),298.15,50.0,0.645,0.6963,0.707,0.6749
617,Slipids,POPC (1),298.0,46.8,0.455,0.6921,0.7281,0.6203
684,Lipid17,POPC (1),298.15,50.0,0.245,0.6725,0.724,0.5697
457,MacRog,POPC (1),300.0,40.0,0.545,0.6676,0.6858,0.6312
657,Lipid17,POPC (1),298.15,50.0,0.245,0.6659,0.7211,0.5554
798,CHARMM36,POPC (1),300.0,12.0,,0.6657,0.6866,0.624
674,MacRog,POPC (1),298.15,50.0,0.545,0.665,0.6968,0.6013
800,CHARMM36,DMPC (1),314.0,5.0,,0.66,0.645,0.6901
675,MacRog,POPC (1),298.15,50.0,0.545,0.659,0.6606,0.6558
715,Lipid17,POPC (1),298.15,50.0,0.145,0.6511,0.7313,0.4905
806,CHARMM36,POPC (1),300.0,7.5,,0.6489,0.6296,0.6877
809,CHARMM36,DMPC (1),314.0,10.0,,0.6488,0.6504,0.6456
606,MacRog,POPC (1),298.0,20.0,,0.6434,0.6602,0.6098
696,Slipids,POPC (1),298.15,50.0,0.455,0.6426,0.669,0.5897
831,C36_Slipids_Hybrid,POPC (1),298.0,50.0,0.955,0.6389,0.6285,0.6595
810,OPLS4,DMPC (1),314.0,10.0,,0.6279,0.5503,0.7831
811,OPLS4,DMPC (1),314.0,5.0,,0.6233,0.589,0.6917
47,CHARMM36,DOPC (1),303.15,50.0,1.33,0.6185,0.607,0.6416
813,OPLS4,DMPC (1),314.0,45.0,,0.617,0.5963,0.6583
708,Slipids,POPC (1),298.15,50.0,0.555,0.5997,0.6178,0.5637
63,MacRog,POPC (1),298.0,50.0,0.545,0.5974,0.5854,0.6216
551,CHARMM36,DOPC (1),303.15,50.0,1.33,0.5898,0.5656,0.6381
